compound_name,slug,status_label,category,category_color,prompt
"BPC-157","bpc-157","Research","tissue_repair","deep teal","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text BPC-157; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in deep teal; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell BPC-157 exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"Thymosin Beta-4","thymosin-beta-4","Investigational","tissue_repair","deep teal","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Thymosin Beta-4; smaller secondary text Investigational; clean white medical-style label; one subtle accent stripe in deep teal; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Thymosin Beta-4 exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Investigational, square composition."
"TB-500","tb-500","Research","tissue_repair","deep teal","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text TB-500; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in deep teal; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell TB-500 exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"CJC-1295","cjc-1295","Research","gh_axis","royal blue","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text CJC-1295; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in royal blue; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell CJC-1295 exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"Sermorelin","sermorelin","Research","gh_axis","royal blue","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Sermorelin; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in royal blue; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Sermorelin exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"Tesamorelin","tesamorelin","Rx","gh_axis","royal blue","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Tesamorelin; smaller secondary text Rx; clean white medical-style label; one subtle accent stripe in royal blue; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Tesamorelin exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Rx, square composition."
"Ipamorelin","ipamorelin","Research","gh_axis","royal blue","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Ipamorelin; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in royal blue; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Ipamorelin exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"GHRP-2","ghrp-2","Research","gh_axis","royal blue","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text GHRP-2; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in royal blue; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell GHRP-2 exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"GHRP-6","ghrp-6","Research","gh_axis","royal blue","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text GHRP-6; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in royal blue; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell GHRP-6 exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"Hexarelin","hexarelin","Research","gh_axis","royal blue","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Hexarelin; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in royal blue; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Hexarelin exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"AOD-9604","aod-9604","Research","metabolic","emerald green","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text AOD-9604; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in emerald green; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell AOD-9604 exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"Melanotan I","melanotan-1","Rx","melanocortin","burnt orange","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Melanotan I; smaller secondary text Rx; clean white medical-style label; one subtle accent stripe in burnt orange; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Melanotan I exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Rx, square composition."
"Melanotan II","melanotan-2","Research","melanocortin","burnt orange","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Melanotan II; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in burnt orange; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Melanotan II exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"PT-141","pt-141","Rx","melanocortin","burnt orange","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text PT-141; smaller secondary text Rx; clean white medical-style label; one subtle accent stripe in burnt orange; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell PT-141 exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Rx, square composition."
"Semax","semax","Research","neuroprotection","violet","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Semax; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in violet; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Semax exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"Selank","selank","Research","neuroprotection","violet","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Selank; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in violet; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Selank exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"DSIP","dsip","Research","sleep","indigo","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text DSIP; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in indigo; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell DSIP exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"Oxytocin","oxytocin","Rx","reproductive","rose magenta","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Oxytocin; smaller secondary text Rx; clean white medical-style label; one subtle accent stripe in rose magenta; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Oxytocin exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Rx, square composition."
"Kisspeptin","kisspeptin","Research","reproductive","rose magenta","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Kisspeptin; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in rose magenta; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Kisspeptin exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"MOTS-c","mots-c","Research","metabolic","emerald green","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text MOTS-c; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in emerald green; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell MOTS-c exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"Epitalon","epitalon","Research","longevity","antique gold","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Epitalon; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in antique gold; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Epitalon exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"FOXO4-DRI","foxo4-dri","Research","longevity","antique gold","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text FOXO4-DRI; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in antique gold; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell FOXO4-DRI exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"IGF-1 LR3","igf-1-lr3","Research","growth_factor","signal blue","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text IGF-1 LR3; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in signal blue; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell IGF-1 LR3 exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
