compound_name,slug,status_label,category,category_color,prompt
"MGF E-domain","mgf","Research","muscle_repair","forest green","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text MGF E-domain; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in forest green; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell MGF E-domain exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"PEG-MGF","peg-mgf","Research","muscle_repair","forest green","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text PEG-MGF; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in forest green; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell PEG-MGF exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"Follistatin","follistatin","Research","growth_factor","signal blue","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Follistatin; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in signal blue; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Follistatin exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"Thymosin Alpha-1","thymosin-alpha-1","Investigational","immune","clinical red","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Thymosin Alpha-1; smaller secondary text Investigational; clean white medical-style label; one subtle accent stripe in clinical red; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Thymosin Alpha-1 exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Investigational, square composition."
"GHK-Cu","ghk-cu","Research","skin_cosmetic","orchid","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text GHK-Cu; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in orchid; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell GHK-Cu exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"LL-37","ll-37","Research","antimicrobial","amber gold","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text LL-37; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in amber gold; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell LL-37 exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"KPV","kpv","Research","skin_cosmetic","orchid","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text KPV; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in orchid; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell KPV exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"Dihexa","dihexa","Research","cognitive","violet purple","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Dihexa; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in violet purple; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Dihexa exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"Humanin","humanin","Research","mitochondrial","sunset orange","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Humanin; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in sunset orange; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Humanin exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"Elamipretide","elamipretide","Investigational","mitochondrial","sunset orange","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Elamipretide; smaller secondary text Investigational; clean white medical-style label; one subtle accent stripe in sunset orange; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Elamipretide exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Investigational, square composition."
"Semaglutide","semaglutide","Rx","metabolic","emerald green","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Semaglutide; smaller secondary text Rx; clean white medical-style label; one subtle accent stripe in emerald green; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Semaglutide exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Rx, square composition."
"Tirzepatide","tirzepatide","Rx","metabolic","emerald green","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Tirzepatide; smaller secondary text Rx; clean white medical-style label; one subtle accent stripe in emerald green; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Tirzepatide exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Rx, square composition."
"Liraglutide","liraglutide","Rx","metabolic","emerald green","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Liraglutide; smaller secondary text Rx; clean white medical-style label; one subtle accent stripe in emerald green; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Liraglutide exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Rx, square composition."
"Retatrutide","retatrutide","Investigational","metabolic","emerald green","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Retatrutide; smaller secondary text Investigational; clean white medical-style label; one subtle accent stripe in emerald green; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Retatrutide exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Investigational, square composition."
"MK-677","mk-677","Research","gh_axis","royal blue","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text MK-677; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in royal blue; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell MK-677 exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"Larazotide","larazotide","Investigational","immune","clinical red","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Larazotide; smaller secondary text Investigational; clean white medical-style label; one subtle accent stripe in clinical red; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Larazotide exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Investigational, square composition."
"Vasoactive Intestinal Peptide","vip","Research","immune","clinical red","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Vasoactive Intestinal Peptide; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in clinical red; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Vasoactive Intestinal Peptide exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"Cerebrolysin","cerebrolysin","Research","cognitive","violet purple","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Cerebrolysin; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in violet purple; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Cerebrolysin exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"NSI-189","nsi-189","Investigational","cognitive","violet purple","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text NSI-189; smaller secondary text Investigational; clean white medical-style label; one subtle accent stripe in violet purple; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell NSI-189 exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Investigational, square composition."
"Pinealon","pinealon","Research","sleep","indigo","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Pinealon; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in indigo; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Pinealon exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"Thymosin Beta-1","thymosin-beta-1","Research","immune","clinical red","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Thymosin Beta-1; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in clinical red; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Thymosin Beta-1 exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"Angiotensin 1-7","angiotensin-1-7","Investigational","longevity","antique gold","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Angiotensin 1-7; smaller secondary text Investigational; clean white medical-style label; one subtle accent stripe in antique gold; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Angiotensin 1-7 exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Investigational, square composition."
"Epithalon Variants","epithalon-variants","Research","longevity","antique gold","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Epithalon Variants; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in antique gold; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Epithalon Variants exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
